Q_ID,GirlID,Answer
PQ36,G006,"Coffee."
PQ36,G007,"Coffee."
PQ36,G008,"Tea."
PQ36,G009,"Tea."
PQ36,G010,"Coffee."

PQ37,G001,"Morning."
PQ37,G002,"Night."
PQ37,G003,"Morning."
PQ37,G004,"Morning."
PQ37,G005,"Morning."
PQ37,G006,"Night."
PQ37,G007,"Morning."
PQ37,G008,"Night."
PQ37,G009,"Morning."
PQ37,G010,"Night."

PQ38,G001,"Yes, calmly."
PQ38,G002,"Yes."
PQ38,G003,"Yes."
PQ38,G004,"I enjoy it."
PQ38,G005,"Sometimes."
PQ38,G006,"Love it."
PQ38,G007,"It’s refreshing."
PQ38,G008,"Yes, quietly."
PQ38,G009,"Yes."
PQ38,G010,"Absolutely."

PQ39,G001,"Purpose."
PQ39,G002,"Stability."
PQ39,G003,"Care."
PQ39,G004,"Growth."
PQ39,G005,"Success."
PQ39,G006,"Curiosity."
PQ39,G007,"Goals."
PQ39,G008,"Meaning."
PQ39,G009,"Impact."
PQ39,G010,"Freedom."

PQ40,G001,"Progress."
PQ40,G002,"Kind words."
PQ40,G003,"Gratitude."
PQ40,G004,"Peace."
PQ40,G005,"Wins."
PQ40,G006,"Good energy."
PQ40,G007,"Clarity."
PQ40,G008,"Insight."
PQ40,G009,"Helping others."
PQ40,G010,"Adventure."

